"Province.State","Country.Region","Lat","Long","date","cases","type"
"","El Salvador",13.7942,-88.8965,2020-04-24,0,"death"
"","El Salvador",13.7942,-88.8965,2020-04-25,0,"death"
"","El Salvador",13.7942,-88.8965,2020-04-26,0,"death"
"","El Salvador",13.7942,-88.8965,2020-04-27,0,"death"
"","El Salvador",13.7942,-88.8965,2020-04-28,0,"death"
"","El Salvador",13.7942,-88.8965,2020-04-29,1,"death"
"","El Salvador",13.7942,-88.8965,2020-04-30,1,"death"
"","El Salvador",13.7942,-88.8965,2020-05-01,0,"death"
"","El Salvador",13.7942,-88.8965,2020-05-02,1,"death"
"","El Salvador",13.7942,-88.8965,2020-05-03,0,"death"
"","El Salvador",13.7942,-88.8965,2020-05-04,2,"death"
"","El Salvador",13.7942,-88.8965,2020-05-05,1,"death"
"","El Salvador",13.7942,-88.8965,2020-05-06,1,"death"
"","El Salvador",13.7942,-88.8965,2020-05-07,0,"death"
"","El Salvador",13.7942,-88.8965,2020-01-22,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-01-23,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-01-24,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-01-25,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-01-26,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-01-27,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-01-28,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-01-29,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-01-30,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-01-31,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-01,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-02,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-03,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-04,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-05,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-06,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-07,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-08,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-09,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-10,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-11,0,"recovered"
"","El Salvador",13.7942,-88.8965,2020-02-12,0,"recovered"
